Data as of,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/2020,8/8/2020,Female,75-84 years,"7,075",868
9/23/2020,8/8/2020,Female,85 years and over,"10,543","1,127"
9/23/2020,8/8/2020,Female,All ages,"28,729","3,291"
9/23/2020,8/15/2020,Female,Under 1 year,120,1
9/23/2020,8/15/2020,Female,1-4 years,32,1
9/23/2020,8/15/2020,Female,5-14 years,37,0
9/23/2020,8/15/2020,Female,15-24 years,197,8
9/23/2020,8/15/2020,Female,25-34 years,400,17
9/23/2020,8/15/2020,Female,35-44 years,646,58
9/23/2020,8/15/2020,Female,45-54 years,"1,310",119
9/23/2020,8/15/2020,Female,55-64 years,"3,029",344
9/23/2020,8/15/2020,Female,65-74 years,"5,015",593
9/23/2020,8/15/2020,Female,75-84 years,"7,025",818
9/23/2020,8/15/2020,Female,85 years and over,"10,561","1,047"
9/23/2020,8/15/2020,Female,All ages,"28,372","3,006"
9/23/2020,8/22/2020,Female,Under 1 year,132,0
9/23/2020,8/22/2020,Female,1-4 years,18,1
9/23/2020,8/22/2020,Female,5-14 years,32,1
9/23/2020,8/22/2020,Female,15-24 years,189,7
9/23/2020,8/22/2020,Female,25-34 years,356,17
9/23/2020,8/22/2020,Female,35-44 years,568,37
9/23/2020,8/22/2020,Female,45-54 years,"1,222",118
9/23/2020,8/22/2020,Female,55-64 years,"2,856",311
9/23/2020,8/22/2020,Female,65-74 years,"4,821",525
9/23/2020,8/22/2020,Female,75-84 years,"6,686",707
9/23/2020,8/22/2020,Female,85 years and over,"10,136",889
9/23/2020,8/22/2020,Female,All ages,"27,016","2,613"
9/23/2020,8/29/2020,Female,Under 1 year,131,0
9/23/2020,8/29/2020,Female,1-4 years,22,0
9/23/2020,8/29/2020,Female,5-14 years,37,0
9/23/2020,8/29/2020,Female,15-24 years,147,3
9/23/2020,8/29/2020,Female,25-34 years,322,11
9/23/2020,8/29/2020,Female,35-44 years,546,23
9/23/2020,8/29/2020,Female,45-54 years,"1,146",76
9/23/2020,8/29/2020,Female,55-64 years,"2,680",239
9/23/2020,8/29/2020,Female,65-74 years,"4,472",428
9/23/2020,8/29/2020,Female,75-84 years,"6,307",588
9/23/2020,8/29/2020,Female,85 years and over,"9,699",811
9/23/2020,8/29/2020,Female,All ages,"25,509","2,179"
9/23/2020,9/5/2020,Female,Under 1 year,100,0
9/23/2020,9/5/2020,Female,1-4 years,22,0
9/23/2020,9/5/2020,Female,5-14 years,35,0
9/23/2020,9/5/2020,Female,15-24 years,115,4
9/23/2020,9/5/2020,Female,25-34 years,277,3
9/23/2020,9/5/2020,Female,35-44 years,545,22
9/23/2020,9/5/2020,Female,45-54 years,950,52
9/23/2020,9/5/2020,Female,55-64 years,"2,379",179
9/23/2020,9/5/2020,Female,65-74 years,"4,074",297
9/23/2020,9/5/2020,Female,75-84 years,"5,610",423
9/23/2020,9/5/2020,Female,85 years and over,"8,774",590
9/23/2020,9/5/2020,Female,All ages,"22,881","1,570"
9/23/2020,9/12/2020,Female,Under 1 year,68,0
9/23/2020,9/12/2020,Female,1-4 years,7,0
9/23/2020,9/12/2020,Female,5-14 years,21,0
9/23/2020,9/12/2020,Female,15-24 years,88,1
9/23/2020,9/12/2020,Female,25-34 years,210,2
9/23/2020,9/12/2020,Female,35-44 years,351,10
9/23/2020,9/12/2020,Female,45-54 years,707,25
9/23/2020,9/12/2020,Female,55-64 years,"1,728",58
9/23/2020,9/12/2020,Female,65-74 years,"2,990",153
9/23/2020,9/12/2020,Female,75-84 years,"4,362",217
9/23/2020,9/12/2020,Female,85 years and over,"7,175",326
9/23/2020,9/12/2020,Female,All ages,"17,707",792
9/23/2020,9/19/2020,Female,Under 1 year,24,0
9/23/2020,9/19/2020,Female,1-4 years,3,0
9/23/2020,9/19/2020,Female,5-14 years,7,0
9/23/2020,9/19/2020,Female,15-24 years,28,0
9/23/2020,9/19/2020,Female,25-34 years,79,0
9/23/2020,9/19/2020,Female,35-44 years,119,2
9/23/2020,9/19/2020,Female,45-54 years,306,4
9/23/2020,9/19/2020,Female,55-64 years,652,10
9/23/2020,9/19/2020,Female,65-74 years,"1,327",28
9/23/2020,9/19/2020,Female,75-84 years,"1,908",26
9/23/2020,9/19/2020,Female,85 years and over,"3,248",50
9/23/2020,9/19/2020,Female,All ages,"7,701",120
9/23/2020,,Female,All ages,"967,377","86,647"
9/23/2020,2/1/2020,Male,Under 1 year,194,0
9/23/2020,2/1/2020,Male,1-4 years,37,0
9/23/2020,2/1/2020,Male,5-14 years,62,0
9/23/2020,2/1/2020,Male,15-24 years,426,0
9/23/2020,2/1/2020,Male,25-34 years,800,0
9/23/2020,2/1/2020,Male,35-44 years,"1,062",0
9/23/2020,2/1/2020,Male,45-54 years,"2,034",0
9/23/2020,2/1/2020,Male,55-64 years,"4,475",0
9/23/2020,2/1/2020,Male,65-74 years,"6,698",0
9/23/2020,2/1/2020,Male,75-84 years,"7,320",0
9/23/2020,2/1/2020,Male,85 years and over,"6,965",0
9/23/2020,2/1/2020,Male,All ages,"30,073",0
9/23/2020,2/8/2020,Male,Under 1 year,235,0
9/23/2020,2/8/2020,Male,1-4 years,49,0
